measure,query_id,perfect,binarized,nearrandom
AP,307,0.21075714043330881,0.21075714043330881,0.21075714043330881
AP,310,0.2725487023467295,0.2725487023467295,0.2725487023467295
AP,311,0.17365829006907277,0.17365829006907277,0.17365829006907277
AP,316,0.04518326772726702,0.04518326772726702,0.04518326772726702
AP,317,0.2953164990285493,0.2953164990285493,0.2953164990285493
AP,319,0.041158707729154025,0.041158707729154025,0.041158707729154025
AP,320,0.130303666131465,0.130303666131465,0.130303666131465
AP,325,0.11813050573619953,0.11813050573619953,0.11813050573619953
AP,326,0.45738035996770343,0.45738035996770343,0.45738035996770343
AP,331,0.43469559278292164,0.43469559278292164,0.43469559278292164
AP,334,0.11446758249017784,0.11446758249017784,0.11446758249017784
AP,339,0.20818627450980393,0.20818627450980393,0.20818627450980393
AP,346,0.1163638674858404,0.1163638674858404,0.1163638674858404
AP,356,0.07118634845773092,0.07118634845773092,0.07118634845773092
AP,361,0.3814777183198236,0.3814777183198236,0.3814777183198236
AP,368,0.6620058968597912,0.6620058968597912,0.6620058968597912
AP,369,0.47394394223662517,0.47394394223662517,0.47394394223662517
AP,370,0.23512151154875313,0.23512151154875313,0.23512151154875313
AP,397,0.5297755059134264,0.5297755059134264,0.5297755059134264
AP,398,0.2375502878709338,0.2375502878709338,0.2375502878709338
AP,405,0.3493560889006947,0.3493560889006947,0.3493560889006947
AP,409,0.13188362025571324,0.13188362025571324,0.13188362025571324
AP,412,0.4651793997798253,0.4651793997798253,0.4651793997798253
AP,413,0.055331465050588176,0.055331465050588176,0.055331465050588176
AP,415,0.09799240313339272,0.09799240313339272,0.09799240313339272
AP,419,0.1082311550593409,0.1082311550593409,0.1082311550593409
AP,421,0.055991808239626406,0.055991808239626406,0.055991808239626406
AP,438,0.24540188548939715,0.24540188548939715,0.24540188548939715
AP,441,0.3774612755393186,0.3774612755393186,0.3774612755393186
AP,609,0.19977184192135444,0.19977184192135444,0.19977184192135444
AP,610,0.01073509362004764,0.01073509362004764,0.01073509362004764
AP,613,0.1274409965582837,0.1274409965582837,0.1274409965582837
AP,623,0.0766801514057171,0.0766801514057171,0.0766801514057171
AP,624,0.2783954720510614,0.2783954720510614,0.2783954720510614
AP,626,0.5806900931620681,0.5806900931620681,0.5806900931620681
AP,631,0.28273830326379573,0.28273830326379573,0.28273830326379573
AP,634,0.5711970993055044,0.5711970993055044,0.5711970993055044
AP,635,0.7846812282823364,0.7846812282823364,0.7846812282823364
AP,641,0.08258025894911203,0.08258025894911203,0.08258025894911203
AP,644,0.36499345793758603,0.36499345793758603,0.36499345793758603
AP,645,0.6668498000674806,0.6668498000674806,0.6668498000674806
AP,646,0.3649461142686474,0.3649461142686474,0.3649461142686474
AP,647,0.4139329836516492,0.4139329836516492,0.4139329836516492
AP,650,0.07864064281823088,0.07864064281823088,0.07864064281823088
AP,651,0.08857417558760741,0.08857417558760741,0.08857417558760741
AP,652,0.15285530288360483,0.15285530288360483,0.15285530288360483
AP,666,0.04942084942084942,0.04942084942084942,0.04942084942084942
AP,675,0.12262313431466812,0.12262313431466812,0.12262313431466812
AP,691,0.17949410475324915,0.17949410475324915,0.17949410475324915
AP,698,0.1348499803935985,0.1348499803935985,0.1348499803935985
AP,306,0.15030476951689248,0.15030476951689248,0.15030476951689248
AP,313,0.36716830592914046,0.36716830592914046,0.36716830592914046
AP,323,0.11658917997435726,0.11658917997435726,0.11658917997435726
AP,329,0.3921090471344701,0.3921090471344701,0.3921090471344701
AP,330,0.23992806050250115,0.23992806050250115,0.23992806050250115
AP,332,0.03689162793829012,0.03689162793829012,0.03689162793829012
AP,336,0.06192314882719522,0.06192314882719522,0.06192314882719522
AP,343,0.09759333241010387,0.09759333241010387,0.09759333241010387
AP,357,0.3728540818029809,0.3728540818029809,0.3728540818029809
AP,366,0.11699061163273057,0.11699061163273057,0.11699061163273057
AP,367,0.039441213164444745,0.039441213164444745,0.039441213164444745
AP,374,0.16009858646859967,0.16009858646859967,0.16009858646859967
AP,376,0.021253985111558675,0.021253985111558675,0.021253985111558675
AP,380,0.33032372519020176,0.33032372519020176,0.33032372519020176
AP,383,0.06148083881035139,0.06148083881035139,0.06148083881035139
AP,385,0.3713907123835208,0.3713907123835208,0.3713907123835208
AP,387,0.11176118683752559,0.11176118683752559,0.11176118683752559
AP,394,0.12749682502245013,0.12749682502245013,0.12749682502245013
AP,402,0.3270910646840354,0.3270910646840354,0.3270910646840354
AP,410,0.405339513389714,0.405339513389714,0.405339513389714
AP,416,0.22596940259091913,0.22596940259091913,0.22596940259091913
AP,418,0.007845159880451561,0.007845159880451561,0.007845159880451561
AP,420,0.38252957413224115,0.38252957413224115,0.38252957413224115
AP,425,0.4250618054589401,0.4250618054589401,0.4250618054589401
AP,426,0.1495379932479682,0.1495379932479682,0.1495379932479682
AP,427,0.17668581545823664,0.17668581545823664,0.17668581545823664
AP,433,0.010607940446650125,0.010607940446650125,0.010607940446650125
AP,440,0.20963905619753212,0.20963905619753212,0.20963905619753212
AP,445,0.517849460119552,0.517849460119552,0.517849460119552
AP,448,0.02689259564612456,0.02689259564612456,0.02689259564612456
AP,449,0.11234706274927492,0.11234706274927492,0.11234706274927492
AP,601,0.4998165098005353,0.4998165098005353,0.4998165098005353
AP,605,0.34599743570946084,0.34599743570946084,0.34599743570946084
AP,606,0.11296742299404235,0.11296742299404235,0.11296742299404235
AP,607,0.27483857800561834,0.27483857800561834,0.27483857800561834
AP,618,0.06717426884749148,0.06717426884749148,0.06717426884749148
AP,619,0.48045959333221594,0.48045959333221594,0.48045959333221594
AP,632,0.42168627833398004,0.42168627833398004,0.42168627833398004
AP,636,0.1879700358802241,0.1879700358802241,0.1879700358802241
AP,648,0.5489438523461676,0.5489438523461676,0.5489438523461676
AP,662,0.22367895768220156,0.22367895768220156,0.22367895768220156
AP,663,0.5177395980681617,0.5177395980681617,0.5177395980681617
AP,664,0.7432562888703238,0.7432562888703238,0.7432562888703238
AP,667,0.3512826365932946,0.3512826365932946,0.3512826365932946
AP,676,0.17343967728090984,0.17343967728090984,0.17343967728090984
AP,684,0.12517251546813457,0.12517251546813457,0.12517251546813457
AP,685,0.20628376785368047,0.20628376785368047,0.20628376785368047
AP,687,0.3506038456626115,0.3506038456626115,0.3506038456626115
AP,688,0.033768193263083744,0.033768193263083744,0.033768193263083744
AP,696,0.4952898224301236,0.4952898224301236,0.4952898224301236
AP,301,0.20308930492055488,0.20308930492055488,0.20308930492055488
AP,303,0.06674634736893081,0.06674634736893081,0.06674634736893081
AP,305,0.11663853398044406,0.11663853398044406,0.11663853398044406
AP,312,0.09383815949915122,0.09383815949915122,0.09383815949915122
AP,327,0.2783286500682483,0.2783286500682483,0.2783286500682483
AP,328,0.21109145824802864,0.21109145824802864,0.21109145824802864
AP,333,0.261761397772985,0.261761397772985,0.261761397772985
AP,337,0.20426241611703003,0.20426241611703003,0.20426241611703003
AP,342,0.03262229389020798,0.03262229389020798,0.03262229389020798
AP,347,0.04639533628941466,0.04639533628941466,0.04639533628941466
AP,352,0.006381003062848744,0.006381003062848744,0.006381003062848744
AP,362,0.052050678615474,0.052050678615474,0.052050678615474
AP,363,0.2486036055356495,0.2486036055356495,0.2486036055356495
AP,365,0.38392170738961234,0.38392170738961234,0.38392170738961234
AP,371,0.004930654434140789,0.004930654434140789,0.004930654434140789
AP,377,0.1129693033876984,0.1129693033876984,0.1129693033876984
AP,378,0.015233897248707407,0.015233897248707407,0.015233897248707407
AP,379,0.0133010462784921,0.0133010462784921,0.0133010462784921
AP,386,0.1295440327212003,0.1295440327212003,0.1295440327212003
AP,391,0.30726185328663785,0.30726185328663785,0.30726185328663785
AP,396,0.40544879379544657,0.40544879379544657,0.40544879379544657
AP,399,0.12907850273224342,0.12907850273224342,0.12907850273224342
AP,401,0.3984528454986549,0.3984528454986549,0.3984528454986549
AP,414,0.26669830764354474,0.26669830764354474,0.26669830764354474
AP,423,0.23627795458529682,0.23627795458529682,0.23627795458529682
AP,428,0.28345660306161197,0.28345660306161197,0.28345660306161197
AP,429,0.3131624469493703,0.3131624469493703,0.3131624469493703
AP,436,0.6547597675257699,0.6547597675257699,0.6547597675257699
AP,437,0.017509589710161005,0.017509589710161005,0.017509589710161005
AP,439,0.012525567546179919,0.012525567546179919,0.012525567546179919
AP,442,0.16775199160307844,0.16775199160307844,0.16775199160307844
AP,443,0.2309787927082294,0.2309787927082294,0.2309787927082294
AP,444,0.08035833886982699,0.08035833886982699,0.08035833886982699
AP,447,0.0009552579713967529,0.0009552579713967529,0.0009552579713967529
AP,603,0.4563662536366252,0.4563662536366252,0.4563662536366252
AP,615,0.04237592593536602,0.04237592593536602,0.04237592593536602
AP,616,0.27452497120323327,0.27452497120323327,0.27452497120323327
AP,627,0.024634948348735697,0.024634948348735697,0.024634948348735697
AP,628,0.2914267980326465,0.2914267980326465,0.2914267980326465
AP,629,0.3266947687263933,0.3266947687263933,0.3266947687263933
AP,649,0.5223996418584906,0.5223996418584906,0.5223996418584906
AP,673,0.23356150052578536,0.23356150052578536,0.23356150052578536
AP,677,0.7834394904458599,0.7834394904458599,0.7834394904458599
AP,680,0.28183715324663544,0.28183715324663544,0.28183715324663544
AP,682,0.03453314116403698,0.03453314116403698,0.03453314116403698
AP,690,0.010033476527672941,0.010033476527672941,0.010033476527672941
AP,692,0.20485656164723293,0.20485656164723293,0.20485656164723293
AP,694,0.16900834945052254,0.16900834945052254,0.16900834945052254
AP,695,0.16261721612227556,0.16261721612227556,0.16261721612227556
AP,699,0.46235096164070477,0.46235096164070477,0.46235096164070477
AP,304,0.08574784250508848,0.08574784250508848,0.08574784250508848
AP,308,0.2934435559997779,0.2934435559997779,0.2934435559997779
AP,309,0.0,0.0,0.0
AP,314,0.03592970349372607,0.03592970349372607,0.03592970349372607
AP,318,0.05059644745639987,0.05059644745639987,0.05059644745639987
AP,324,0.6777566044218982,0.6777566044218982,0.6777566044218982
AP,335,0.5854727062859473,0.5854727062859473,0.5854727062859473
AP,340,0.20875176352466288,0.20875176352466288,0.20875176352466288
AP,341,0.3145736400430108,0.3145736400430108,0.3145736400430108
AP,344,0.5713636363636364,0.5713636363636364,0.5713636363636364
AP,345,0.2539356576223743,0.2539356576223743,0.2539356576223743
AP,348,0.0,0.0,0.0
AP,350,0.07351025293182284,0.07351025293182284,0.07351025293182284
AP,354,0.07119687021420122,0.07119687021420122,0.07119687021420122
AP,360,0.38341946201529103,0.38341946201529103,0.38341946201529103
AP,373,0.07457891407219883,0.07457891407219883,0.07457891407219883
AP,381,0.11372227098992947,0.11372227098992947,0.11372227098992947
AP,382,0.5297642051246916,0.5297642051246916,0.5297642051246916
AP,384,0.14707600583656816,0.14707600583656816,0.14707600583656816
AP,390,0.18345412197145097,0.18345412197145097,0.18345412197145097
AP,392,0.30291209094130567,0.30291209094130567,0.30291209094130567
AP,395,0.16275768353290032,0.16275768353290032,0.16275768353290032
AP,406,0.15025958235317025,0.15025958235317025,0.15025958235317025
AP,411,0.18981507420686156,0.18981507420686156,0.18981507420686156
AP,424,0.07197573276345183,0.07197573276345183,0.07197573276345183
AP,432,0.02034149780627394,0.02034149780627394,0.02034149780627394
AP,434,0.4900644040822091,0.4900644040822091,0.4900644040822091
AP,435,0.09385956201625434,0.09385956201625434,0.09385956201625434
AP,446,0.280334625550021,0.280334625550021,0.280334625550021
AP,604,0.6592948717948717,0.6592948717948717,0.6592948717948717
AP,612,0.3309114980480878,0.3309114980480878,0.3309114980480878
AP,614,0.07492861323633931,0.07492861323633931,0.07492861323633931
