measure,query_id,value
AP,307,0.2851062420066637
AP,310,0.2910295396593536
AP,311,0.3030931089008582
AP,316,0.042532052232508485
AP,317,0.3335200199039484
AP,319,0.06031273602058271
AP,320,0.1271557978900933
AP,325,0.01383789211750268
AP,326,0.46097792344942373
AP,331,0.2872570130226942
AP,334,0.05652648892422482
AP,339,0.20020688280492202
AP,346,0.05299180349756656
AP,356,0.056238444894051304
AP,361,0.23144560481559695
AP,368,0.29636126998515544
AP,369,0.16271874773899064
AP,370,0.27485600621313794
AP,397,0.41279567407912454
AP,398,0.10682569525744279
AP,405,0.20492928043736178
AP,409,0.16208763239395652
AP,412,0.3797826826426908
AP,413,0.10256062655492972
AP,415,0.21048791378847106
AP,419,0.33357334869431643
AP,421,0.03311843387288242
AP,438,0.190226243520253
AP,441,0.46545739900428307
AP,609,0.2511696562573476
AP,610,0.018441358024691358
AP,613,0.10215434779987345
AP,623,0.0830544506363923
AP,624,0.24613629227948997
AP,626,0.5106488075456171
AP,631,0.1414008120174775
AP,634,0.6059315684315684
AP,635,0.8010395621120565
AP,641,0.30194482874946144
AP,644,0.26787879407726084
AP,645,0.5483781810631664
AP,646,0.35648079396730953
AP,647,0.3389497422811731
AP,650,0.114864855956823
AP,651,0.12222904273746042
AP,652,0.152974764106205
AP,666,0.02368421052631579
AP,675,0.18322680244952877
AP,691,0.14339356578340948
AP,698,0.1112485357379055
AP,306,0.18562943773453697
AP,313,0.19410100936194002
AP,323,0.09173010698292088
AP,329,0.3747724705584391
AP,330,0.19619920940824123
AP,332,0.08242516539291217
AP,336,0.10037648340754037
AP,343,0.04831106822233456
AP,357,0.30446667220125423
AP,366,0.06835147042763687
AP,367,0.04684952157704775
AP,374,0.20853979890318272
AP,376,0.0332774357060636
AP,380,0.23372230729327612
AP,383,0.1690176915828945
AP,385,0.2754907110456536
AP,387,0.13789818549050606
AP,394,0.11790060851926978
AP,402,0.2516677442443267
AP,410,0.4083167795382816
AP,416,0.38837698955518607
AP,418,0.030087674036122922
AP,420,0.3735689857270428
AP,425,0.2523606714130357
AP,426,0.08668553433521259
AP,427,0.1490804712461298
AP,433,0.04212454212454213
AP,440,0.12631272834089932
AP,445,0.32713654643007617
AP,448,0.1213425551540364
AP,449,0.10117661227277346
AP,601,0.5744662309368193
AP,605,0.2292114706011629
AP,606,0.16878404872299088
AP,607,0.2190454660000575
AP,618,0.13918327485055174
AP,619,0.6024299872891276
AP,632,0.3582083664072287
AP,636,0.2651318079691079
AP,648,0.543398876760463
AP,662,0.06609159573907186
AP,663,0.5206196526733673
AP,664,0.7907407407407407
AP,667,0.21862857989069842
AP,676,0.171446398809219
AP,684,0.09823969783685657
AP,685,0.2886635640169025
AP,687,0.41034979722040754
AP,688,0.010759755715269239
AP,696,0.11280305558231098
AP,301,0.1021407561336858
AP,303,0.21789607162694163
AP,305,0.0718869344329746
AP,312,0.10359188702002017
AP,327,0.20959116298338898
AP,328,0.2741625667765256
AP,333,0.24165912007234594
AP,337,0.1635189945732765
AP,342,0.02446753399076744
AP,347,0.059436945306857364
AP,352,0.06668580178321888
AP,362,0.07818970301091237
AP,363,0.27371145935942265
AP,365,0.3137629128836142
AP,371,0.022262708367173104
AP,377,0.11610643507773477
AP,378,0.01439388175984925
AP,379,0.1884469696969697
AP,386,0.07593393762950852
AP,391,0.2012625187521017
AP,396,0.22965590087864846
AP,399,0.11170545165904948
AP,401,0.19250784628479992
AP,414,0.26000471865164276
AP,423,0.13129955430200219
AP,428,0.1644107003087212
AP,429,0.2911103583830857
AP,436,0.5394911658636807
AP,437,0.01688608384392963
AP,439,0.02713236172245095
AP,442,0.00920867490135191
AP,443,0.16731915453443422
AP,444,0.20938161622007817
AP,447,0.02688419117647059
AP,603,0.5960918742496999
AP,615,0.012218991110645323
AP,616,0.3723522608620376
AP,627,0.03518430208546257
AP,628,0.3530374467382523
AP,629,0.5302011896101612
AP,649,0.5449857373341953
AP,673,0.26982424810891603
AP,677,0.8011695906432749
AP,680,0.22404954305296088
AP,682,0.029142084451321947
AP,690,0.024340972680917804
AP,692,0.17977223343403564
AP,694,0.23796070973644756
AP,695,0.10881169799697468
AP,699,0.4369774388433496
AP,304,0.07727406147267049
AP,308,0.35862903225806453
AP,309,0.0
AP,314,0.030327708610963736
AP,318,0.013395767592185475
AP,324,0.5849845828300027
AP,335,0.5269685252949445
AP,340,0.11988876094985464
AP,341,0.41523321275697467
AP,344,0.3526314281621544
AP,345,0.289220834475332
AP,348,0.0
AP,350,0.06677491722914222
AP,354,0.024448469318832745
AP,360,0.29382351472688684
AP,373,0.1484519464533038
AP,381,0.07068644447113094
AP,382,0.4743113562958351
AP,384,0.17258263874961072
AP,390,0.1137562974053545
AP,392,0.2284861814657991
AP,395,0.12014698204943887
AP,406,0.15681812279606666
