measure,query_id,perfect,binarized,nearrandom
AP,307,0.18515427418282265,0.18515427418282265,0.18515427418282265
AP,310,0.253705850212975,0.253705850212975,0.253705850212975
AP,311,0.16972231474444172,0.16972231474444172,0.16972231474444172
AP,316,0.012428403206878106,0.012428403206878106,0.012428403206878106
AP,317,0.27031076330802967,0.27031076330802967,0.27031076330802967
AP,319,0.04238827741253057,0.04238827741253057,0.04238827741253057
AP,320,0.08998650752435901,0.08998650752435901,0.08998650752435901
AP,325,0.02670980243913543,0.02670980243913543,0.02670980243913543
AP,326,0.4233144858544622,0.4233144858544622,0.4233144858544622
AP,331,0.3141405001164965,0.3141405001164965,0.3141405001164965
AP,334,0.11462150166266655,0.11462150166266655,0.11462150166266655
AP,339,0.270601323407775,0.270601323407775,0.270601323407775
AP,346,0.14635799179229841,0.14635799179229841,0.14635799179229841
AP,356,0.04003559833056696,0.04003559833056696,0.04003559833056696
AP,361,0.37215099715099714,0.37215099715099714,0.37215099715099714
AP,368,0.2823702380647054,0.2823702380647054,0.2823702380647054
AP,369,0.26338446499736823,0.26338446499736823,0.26338446499736823
AP,370,0.17750604473161827,0.17750604473161827,0.17750604473161827
AP,397,0.7031431322417233,0.7031431322417233,0.7031431322417233
AP,398,0.09792112665942726,0.09792112665942726,0.09792112665942726
AP,405,0.11417657731740911,0.11417657731740911,0.11417657731740911
AP,409,0.22100907191032582,0.22100907191032582,0.22100907191032582
AP,412,0.4429322985327197,0.4429322985327197,0.4429322985327197
AP,413,0.04251845661313869,0.04251845661313869,0.04251845661313869
AP,415,0.15829062636552677,0.15829062636552677,0.15829062636552677
AP,419,0.2720018011527402,0.2720018011527402,0.2720018011527402
AP,421,0.07769518948517354,0.07769518948517354,0.07769518948517354
AP,438,0.22637329798194725,0.22637329798194725,0.22637329798194725
AP,441,0.4008344301576053,0.4008344301576053,0.4008344301576053
AP,609,0.24934833044944738,0.24934833044944738,0.24934833044944738
AP,610,0.0287088764742396,0.0287088764742396,0.0287088764742396
AP,613,0.0715659464438125,0.0715659464438125,0.0715659464438125
AP,623,0.061601118769931545,0.061601118769931545,0.061601118769931545
AP,624,0.20556419184904068,0.20556419184904068,0.20556419184904068
AP,626,0.4690156633063207,0.4690156633063207,0.4690156633063207
AP,631,0.36497809128853376,0.36497809128853376,0.36497809128853376
AP,634,0.5602752045933864,0.5602752045933864,0.5602752045933864
AP,635,0.533042369181315,0.533042369181315,0.533042369181315
AP,641,0.36910202730477293,0.36910202730477293,0.36910202730477293
AP,644,0.27207930946099385,0.27207930946099385,0.27207930946099385
AP,645,0.6658222459942451,0.6658222459942451,0.6658222459942451
AP,646,0.37469010656739454,0.37469010656739454,0.37469010656739454
AP,647,0.29821406895979463,0.29821406895979463,0.29821406895979463
AP,650,0.05650584340288207,0.05650584340288207,0.05650584340288207
AP,651,0.1148374234386945,0.1148374234386945,0.1148374234386945
AP,652,0.07806592954208866,0.07806592954208866,0.07806592954208866
AP,666,0.00392156862745098,0.00392156862745098,0.00392156862745098
AP,675,0.25046945073583265,0.25046945073583265,0.25046945073583265
AP,691,0.20361155026037586,0.20361155026037586,0.20361155026037586
AP,698,0.21060613934303665,0.21060613934303665,0.21060613934303665
AP,306,0.13092726304785432,0.1571190199929903,0.1571190199929903
AP,313,0.30272108639090195,0.33636691812619174,0.33636691812619174
AP,323,0.06695702041344388,0.060488729864208744,0.060488729864208744
AP,329,0.38180859507204024,0.3848764590022985,0.3848764590022985
AP,330,0.15098442287502148,0.15263279753506062,0.15263279753506062
AP,332,0.1725127372702479,0.047007746657271685,0.047007746657271685
AP,336,0.004112575624203531,0.006087903554958039,0.006087903554958039
AP,343,0.08261376804013362,0.08761047328589663,0.08761047328589663
AP,357,0.317644765145541,0.3300413400750643,0.3300413400750643
AP,366,0.0694043538809667,0.08206708451750787,0.08206708451750787
AP,367,0.012330075248802716,0.016998241695507246,0.016998241695507246
AP,374,0.06648186151072352,0.06334400997940229,0.06334400997940229
AP,376,0.008238306858756057,0.011573403251956469,0.011573403251956469
AP,380,0.16938289916875252,0.21690590111642744,0.21690590111642744
AP,383,0.1091429604842308,0.10366300739899999,0.10366300739899999
AP,385,0.3058612039490108,0.3203835366085771,0.3203835366085771
AP,387,0.042625068247389014,0.07138839927867888,0.07138839927867888
AP,394,0.07488657610187884,0.1206559145761146,0.1206559145761146
AP,402,0.1534993021524627,0.16511408741129077,0.16511408741129077
AP,410,0.21567925433915594,0.19219482842811167,0.19219482842811167
AP,416,0.351624383606211,0.2845007688534869,0.2845007688534869
AP,418,0.035221068749218494,0.022286725491636242,0.022286725491636242
AP,420,0.4528465416011782,0.4429725745587949,0.4429725745587949
AP,425,0.3851676217553873,0.3807994146232155,0.3807994146232155
AP,426,0.1286809854649304,0.1226093767014229,0.1226093767014229
AP,427,0.21718120616638964,0.21663200637146252,0.21663200637146252
AP,433,0.003825849060636502,0.0017322008016797097,0.0017322008016797097
AP,440,0.13768006426711268,0.10916192322468807,0.10916192322468807
AP,445,0.4312489986189173,0.4282333212547882,0.4282333212547882
AP,448,0.031106800567353318,0.04599464621561445,0.04599464621561445
AP,449,0.029067460630744595,0.06776422246069887,0.06776422246069887
AP,601,0.5642650903717177,0.5642781875658588,0.5642781875658588
AP,605,0.1818891103774839,0.2819229151785117,0.2819229151785117
AP,606,0.14814801306931538,0.17413883562528085,0.17413883562528085
AP,607,0.2697482013813816,0.24147800474384526,0.24147800474384526
AP,618,0.073297066593641,0.07803833177351895,0.07803833177351895
AP,619,0.45487975355570026,0.40653082181170785,0.40653082181170785
AP,632,0.38510433321981125,0.39074359340589065,0.39074359340589065
AP,636,0.1253665227267712,0.1280599135147146,0.1280599135147146
AP,648,0.36952719236924547,0.38467113417511256,0.38467113417511256
AP,662,0.10403109417855713,0.11558017051935669,0.11558017051935669
AP,663,0.4921698392812466,0.4775273943504072,0.4775273943504072
AP,664,0.7673149927634232,0.8335858585858587,0.8335858585858587
AP,667,0.2697729172268055,0.21274996404226645,0.21274996404226645
AP,676,0.13744671544635065,0.14354847087263461,0.14354847087263461
AP,684,0.1077087383094901,0.10247784595383427,0.10247784595383427
AP,685,0.1964883320179024,0.11799834457413125,0.11799834457413125
AP,687,0.422598867157491,0.4058072373032677,0.4058072373032677
AP,688,0.030716369057094784,0.03845860825966397,0.03845860825966397
AP,696,0.2128538898402678,0.20412962516194116,0.20412962516194116
AP,301,0.08241794173363164,0.08486551324702159,0.08486551324702159
AP,303,0.08024809736810133,0.1107596420665273,0.1107596420665273
AP,305,0.04537240127923673,0.052233493260307844,0.052233493260307844
AP,312,0.04957393156819268,0.04702850806759573,0.04702850806759573
AP,327,0.16174282694971753,0.17709557096509884,0.17709557096509884
AP,328,0.37906024319940396,0.38391850700889885,0.38391850700889885
AP,333,0.2669654296322913,0.31552489024580777,0.31552489024580777
