query_id,measure,value
301,AP,0.1632770469367188
301,RR,1.0
301,R@1000,0.42857142857142855
301,nDCG@3,1.0
301,nDCG@10,0.7631925784528223
301,nDCG@20,0.7747246118390967
301,nDCG@100,0.5319525536973226
302,AP,0.38539456889709606
302,RR,1.0
302,R@1000,0.7692307692307693
302,nDCG@3,1.0
302,nDCG@10,0.7778721720600673
302,nDCG@20,0.7513421633815728
302,nDCG@100,0.5816675046144713
303,AP,0.09008796872981167
303,RR,0.1111111111111111
303,R@1000,1.0
303,nDCG@3,0.0
303,nDCG@10,0.06625422345438903
303,nDCG@20,0.1257314161834312
303,nDCG@100,0.3181025856092972
304,AP,0.1066552348581673
304,RR,1.0
304,R@1000,0.6071428571428571
304,nDCG@3,0.46927872602275644
304,nDCG@10,0.43810818083050457
304,nDCG@20,0.2827407150011917
304,nDCG@100,0.2245061210652447
305,AP,0.07817768868572804
305,RR,1.0
305,R@1000,0.5714285714285714
305,nDCG@3,0.7039180890341347
305,nDCG@10,0.33013764944712026
305,nDCG@20,0.24592503001806296
305,nDCG@100,0.2237309346523375
306,AP,0.16980050745210398
306,RR,1.0
306,R@1000,0.5240963855421686
306,nDCG@3,1.0
306,nDCG@10,0.7917267193679839
306,nDCG@20,0.6530368857407839
306,nDCG@100,0.42809105172435
307,AP,0.22349439352613346
307,RR,1.0
307,R@1000,0.7047619047619048
307,nDCG@3,0.7039180890341347
307,nDCG@10,0.6399441431116327
307,nDCG@20,0.4493553427909632
307,nDCG@100,0.3603945281278941
308,AP,0.2867605036594584
308,RR,1.0
308,R@1000,1.0
308,nDCG@3,0.46927872602275644
308,nDCG@10,0.3903800499921017
308,nDCG@20,0.3903800499921017
308,nDCG@100,0.5319446775862905
309,AP,0.0
309,RR,0.0
309,R@1000,0.0
309,nDCG@3,0.0
309,nDCG@10,0.0
309,nDCG@20,0.0
309,nDCG@100,0.0
310,AP,0.2887119337409449
310,RR,1.0
310,R@1000,0.8461538461538461
310,nDCG@3,1.0
310,nDCG@10,0.5384313152574521
310,nDCG@20,0.45680980145197025
310,nDCG@100,0.48626282712929497
311,AP,0.15416487880739022
311,RR,1.0
311,R@1000,0.4010989010989011
311,nDCG@3,0.7653606369886217
311,nDCG@10,0.804810999209339
311,nDCG@20,0.7673218612081816
311,nDCG@100,0.4119284969519376
312,AP,0.14906078763645528
312,RR,1.0
312,R@1000,0.45454545454545453
312,nDCG@3,0.46927872602275644
312,nDCG@10,0.30523488393970116
312,nDCG@20,0.3406552730070425
312,nDCG@100,0.3406552730070425
313,AP,0.31293137100272794
313,RR,1.0
313,R@1000,0.5053763440860215
313,nDCG@3,1.0
313,nDCG@10,1.0
313,nDCG@20,0.8927637896777388
313,nDCG@100,0.4843696240142317
314,AP,0.07762121549494763
314,RR,1.0
314,R@1000,0.4318181818181818
314,nDCG@3,0.7653606369886217
314,nDCG@10,0.3589542101716347
314,nDCG@20,0.2657202990929833
314,nDCG@100,0.2470397300459822
315,AP,0.044172686073017456
315,RR,0.1111111111111111
315,R@1000,0.7014925373134329
315,nDCG@3,0.0
315,nDCG@10,0.06625422345438903
315,nDCG@20,0.04275831251503158
315,nDCG@100,0.07357287415924793
316,AP,0.04726742136722254
316,RR,1.0
316,R@1000,0.4411764705882353
316,nDCG@3,0.46927872602275644
316,nDCG@10,0.22009176629808017
316,nDCG@20,0.17755004954207163
316,nDCG@100,0.16009060422260515
317,AP,0.31297138420585624
317,RR,1.0
317,R@1000,0.5714285714285714
317,nDCG@3,1.0
317,nDCG@10,0.5473983622993502
317,nDCG@20,0.4888477717760943
317,nDCG@100,0.5792335038096701
318,AP,0.046333240461920694
318,RR,1.0
318,R@1000,0.24778761061946902
318,nDCG@3,0.7653606369886217
318,nDCG@10,0.3589542101716347
318,nDCG@20,0.3408513760572132
318,nDCG@100,0.18839669792698918
319,AP,0.05023413083161933
319,RR,0.05263157894736842
319,R@1000,0.4294117647058823
319,nDCG@3,0.0
319,nDCG@10,0.0
319,nDCG@20,0.032864970567577
319,nDCG@100,0.1286207160250565
320,AP,0.10383348584568097
320,RR,0.05555555555555555
320,R@1000,1.0
320,nDCG@3,0.0
320,nDCG@10,0.0
320,nDCG@20,0.07123530534387781
320,nDCG@100,0.3687401390938467
321,AP,0.21905306595739218
321,RR,1.0
321,R@1000,0.4975369458128079
321,nDCG@3,1.0
321,nDCG@10,1.0
321,nDCG@20,0.894318269157564
321,nDCG@100,0.5075801069580606
322,AP,0.07797508876236135
322,RR,0.3333333333333333
322,R@1000,0.5588235294117647
322,nDCG@3,0.23463936301137822
322,nDCG@10,0.1736666713479918
322,nDCG@20,0.18318525989112514
322,nDCG@100,0.2388418689402027
323,AP,0.1152952261373155
323,RR,1.0
323,R@1000,0.3114754098360656
323,nDCG@3,0.7039180890341347
323,nDCG@10,0.7312625444731047
323,nDCG@20,0.5059959416106607
323,nDCG@100,0.26470631169008546
324,AP,0.6666834588371536
324,RR,1.0
324,R@1000,0.8695652173913043
324,nDCG@3,1.0
324,nDCG@10,1.0
324,nDCG@20,1.0
324,nDCG@100,0.8385138545012673
325,AP,0.08067835938673866
325,RR,0.3333333333333333
325,R@1000,0.625
325,nDCG@3,0.23463936301137822
325,nDCG@10,0.18340980524840012
325,nDCG@20,0.15070499084303424
325,nDCG@100,0.24398213732680937
326,AP,0.3431099833562817
326,RR,0.3333333333333333
