query_id,measure,perfect,binarized,nearrandom
301,AP,0.1811883679929321,0.1591009707349815,0.18044140157265393
301,RR,1.0,1.0,1.0
301,R@1000,0.47767857142857145,0.45089285714285715,0.47767857142857145
301,nDCG@3,1.0,1.0,1.0
301,nDCG@10,0.8318477135310893,0.8318477135310893,0.8318477135310893
301,nDCG@20,0.7888212548032532,0.7532566117896838,0.7888212548032532
301,nDCG@100,0.535381567338518,0.5022928859826266,0.5277088460517155
302,AP,0.35642241998688695,0.3345129109648043,0.3580625487801372
302,RR,1.0,1.0,1.0
302,R@1000,0.7538461538461538,0.7384615384615385,0.7538461538461538
302,nDCG@3,0.7039180890341347,0.7039180890341347,0.7039180890341347
302,nDCG@10,0.7065632165480471,0.7065632165480471,0.7065632165480471
302,nDCG@20,0.672605459132243,0.6699902066180514,0.7049437502805628
302,nDCG@100,0.5397483497771246,0.49431041595014724,0.5403337317083945
303,AP,0.09008796872981167,0.07955796848653991,0.0618876794654993
303,RR,0.1111111111111111,0.14285714285714285,0.16666666666666666
303,R@1000,1.0,1.0,1.0
303,nDCG@3,0.0,0.0,0.0
303,nDCG@10,0.06625422345438903,0.07336392209936005,0.07839826897867533
303,nDCG@20,0.1257314161834312,0.12838686367388008,0.07839826897867533
303,nDCG@100,0.3181025856092972,0.2811586354807068,0.27105929216060354
304,AP,0.14717416394413096,0.13650236669178784,0.07052008976693552
304,RR,1.0,1.0,0.25
304,R@1000,0.7091836734693877,0.6632653061224489,0.4846938775510204
304,nDCG@3,0.46927872602275644,0.46927872602275644,0.0
304,nDCG@10,0.3531437764338092,0.38363315291837646,0.31017134364653787
304,nDCG@20,0.26521421298866277,0.38862769878647246,0.30378366993615885
304,nDCG@100,0.2524473854883527,0.2728981533044245,0.2013651620622397
305,AP,0.0893241443039033,0.08487939567216342,0.0760043631745721
305,RR,1.0,1.0,0.5
305,R@1000,0.5428571428571428,0.4857142857142857,0.5428571428571428
305,nDCG@3,0.7653606369886217,0.7653606369886217,0.5307212739772434
305,nDCG@10,0.42257499837058643,0.3589542101716347,0.31516255047698366
305,nDCG@20,0.2727161062238898,0.3029069355699607,0.23573391068352353
305,nDCG@100,0.25951998661200876,0.25836955570484693,0.21806900423232015
306,AP,0.07808440438814412,0.06959563901799976,0.07776868391380924
306,RR,1.0,1.0,1.0
306,R@1000,0.29518072289156627,0.26506024096385544,0.29518072289156627
306,nDCG@3,1.0,1.0,1.0
306,nDCG@10,0.7670273914429264,0.6871952210980248,0.7670273914429264
306,nDCG@20,0.5633894142876591,0.5538586665213499,0.5642356923677836
306,nDCG@100,0.3712668189862689,0.3519514498262395,0.3712728610095928
307,AP,0.27232974901711904,0.23580390431312215,0.16998064196615345
307,RR,1.0,1.0,0.5
307,R@1000,0.6904761904761905,0.6285714285714286,0.6047619047619047
307,nDCG@3,1.0,1.0,0.5307212739772434
307,nDCG@10,0.762416491594312,0.78180487222265,0.3845937724137609
307,nDCG@20,0.6275021539255328,0.6425713593901515,0.4575341167786816
307,nDCG@100,0.5203177217460027,0.5080231186241555,0.3296688122795271
308,AP,0.3678675048355899,0.3859555984555984,0.2560019841269841
308,RR,1.0,1.0,0.5
308,R@1000,1.0,1.0,1.0
308,nDCG@3,0.46927872602275644,0.46927872602275644,0.2960819109658652
308,nDCG@10,0.5135312443624667,0.5205067333228022,0.3638184934971571
308,nDCG@20,0.5135312443624667,0.609384656390833,0.459325184359865
308,nDCG@100,0.6697289236817464,0.6837721263000623,0.5348349934737676
309,AP,0.0,0.000339097999321804,0.001752442996742671
309,RR,0.0,0.001017293997965412,0.003257328990228013
309,R@1000,0.0,0.3333333333333333,0.6666666666666666
309,nDCG@3,0.0,0.0,0.0
309,nDCG@10,0.0,0.0,0.0
309,nDCG@20,0.0,0.0,0.0
309,nDCG@100,0.0,0.0,0.0
310,AP,0.5823337189126663,0.5641160110151502,0.5835903862219651
310,RR,1.0,1.0,1.0
310,R@1000,0.7692307692307693,0.7692307692307693,0.7692307692307693
310,nDCG@3,1.0,1.0,1.0
310,nDCG@10,0.7917267193679839,0.7885497208855957,0.7917267193679839
310,nDCG@20,0.7149125575009511,0.6690124278163815,0.7149125575009511
310,nDCG@100,0.754638152577659,0.7474293835691639,0.7551221930483444
311,AP,0.18120501533939348,0.15445680892940597,0.17975862024479122
311,RR,1.0,1.0,1.0
311,R@1000,0.489010989010989,0.44505494505494503,0.489010989010989
311,nDCG@3,1.0,1.0,1.0
311,nDCG@10,0.9052116356304493,0.835780413693672,0.9052116356304493
311,nDCG@20,0.7291188894193927,0.7205162478762972,0.7291188894193927
311,nDCG@100,0.4480460785658842,0.41693564866552824,0.4476013193017705
312,AP,0.10456762134118963,0.11200373758464831,0.244370394523487
312,RR,1.0,1.0,0.5
312,R@1000,0.5454545454545454,0.6363636363636364,0.6363636363636364
312,nDCG@3,0.46927872602275644,0.46927872602275644,0.5307212739772434
312,nDCG@10,0.22009176629808017,0.22009176629808017,0.40030566811860463
312,nDCG@20,0.2545712114717736,0.2580922659829404,0.43022697745017396
312,nDCG@100,0.2545712114717736,0.2930560853383052,0.4640582148626734
313,AP,0.37413391471406504,0.36064081470918496,0.3745792147176039
313,RR,1.0,1.0,1.0
313,R@1000,0.5913978494623656,0.5913978494623656,0.5913978494623656
313,nDCG@3,1.0,1.0,1.0
313,nDCG@10,1.0,1.0,1.0
313,nDCG@20,0.931186855045149,0.9307787414438842,0.931186855045149
313,nDCG@100,0.5051876014376301,0.5014287913252014,0.5052567834085363
