query_id,measure,value
301,AP,0.08486551324702159
301,RR,0.5
301,R@1000,0.26785714285714285
301,nDCG@3,0.2960819109658652
301,nDCG@10,0.5184650094568697
301,nDCG@20,0.5794786791746867
301,nDCG@100,0.4048065442093508
302,AP,0.28422081016950346
302,RR,1.0
302,R@1000,0.6
302,nDCG@3,0.7653606369886217
302,nDCG@10,0.7951657524814092
302,nDCG@20,0.6899832057517399
302,nDCG@100,0.47605231429965544
303,AP,0.1107596420665273
303,RR,0.2
303,R@1000,1.0
303,nDCG@3,0.0
303,nDCG@10,0.08514311764162098
303,nDCG@20,0.1996432519451832
303,nDCG@100,0.3235473677490657
304,AP,0.08549303880235704
304,RR,0.09090909090909091
304,R@1000,0.5102040816326531
304,nDCG@3,0.0
304,nDCG@10,0.0
304,nDCG@20,0.17821360986370788
304,nDCG@100,0.18076405458169967
305,AP,0.052233493260307844
305,RR,1.0
305,R@1000,0.4
305,nDCG@3,0.46927872602275644
305,nDCG@10,0.22009176629808017
305,nDCG@20,0.18042467779904023
305,nDCG@100,0.18719087181725952
306,AP,0.1571190199929903
306,RR,0.5
306,R@1000,0.5090361445783133
306,nDCG@3,0.5307212739772434
306,nDCG@10,0.5423247252962317
306,nDCG@20,0.4981760961239158
306,nDCG@100,0.4129018626186714
307,AP,0.18515427418282265
307,RR,0.5
307,R@1000,0.6476190476190476
307,nDCG@3,0.2960819109658652
307,nDCG@10,0.41656694644234793
307,nDCG@20,0.3346144882145862
307,nDCG@100,0.33645484793094615
308,AP,0.29375996810207333
308,RR,1.0
308,R@1000,1.0
308,nDCG@3,0.46927872602275644
308,nDCG@10,0.3903800499921017
308,nDCG@20,0.48070548841249156
308,nDCG@100,0.5429989856390325
309,AP,0.0
309,RR,0.0
309,R@1000,0.0
309,nDCG@3,0.0
309,nDCG@10,0.0
309,nDCG@20,0.0
309,nDCG@100,0.0
310,AP,0.253705850212975
310,RR,1.0
310,R@1000,0.7692307692307693
310,nDCG@3,1.0
310,nDCG@10,0.4690000933206748
310,nDCG@20,0.3979037500973208
310,nDCG@100,0.43717445100042046
311,AP,0.16972231474444172
311,RR,1.0
311,R@1000,0.3626373626373626
311,nDCG@3,1.0
311,nDCG@10,0.8454256604216017
311,nDCG@20,0.8618581301609595
311,nDCG@100,0.47520166825044036
312,AP,0.04702850806759573
312,RR,0.5
312,R@1000,0.36363636363636365
312,nDCG@3,0.2960819109658652
312,nDCG@10,0.13886244387355454
312,nDCG@20,0.13083036905940468
312,nDCG@100,0.13083036905940468
313,AP,0.33636691812619174
313,RR,1.0
313,R@1000,0.5268817204301075
313,nDCG@3,1.0
313,nDCG@10,1.0
313,nDCG@20,0.9263369616450166
313,nDCG@100,0.48927023766955885
314,AP,0.027794175521100296
314,RR,1.0
314,R@1000,0.22727272727272727
314,nDCG@3,0.46927872602275644
314,nDCG@10,0.22009176629808017
314,nDCG@20,0.1420400396336573
314,nDCG@100,0.11384899622439741
315,AP,0.030284551505370464
315,RR,0.05263157894736842
315,R@1000,0.5522388059701493
315,nDCG@3,0.0
315,nDCG@10,0.0
315,nDCG@20,0.032864970567577
315,nDCG@100,0.07489626323200611
316,AP,0.012428403206878106
316,RR,0.2
316,R@1000,0.20588235294117646
316,nDCG@3,0.0
316,nDCG@10,0.08514311764162098
316,nDCG@20,0.05494858807198588
316,nDCG@100,0.08816125148844435
317,AP,0.27031076330802967
317,RR,1.0
317,R@1000,0.7142857142857143
317,nDCG@3,1.0
317,nDCG@10,0.4690000933206748
317,nDCG@20,0.42430620136448727
317,nDCG@100,0.5474438764829136
318,AP,0.02206960684186999
318,RR,1.0
318,R@1000,0.168141592920354
318,nDCG@3,0.46927872602275644
318,nDCG@10,0.31488013066763093
318,nDCG@20,0.2032133550116892
318,nDCG@100,0.1076191240032958
319,AP,0.04238827741253057
319,RR,0.1
319,R@1000,0.38235294117647056
319,nDCG@3,0.0
319,nDCG@10,0.06362078819895171
319,nDCG@20,0.11070382090165351
319,nDCG@100,0.14705955142420263
320,AP,0.08998650752435901
320,RR,0.1
320,R@1000,1.0
320,nDCG@3,0.0
320,nDCG@10,0.0874717141014082
320,nDCG@20,0.17188052268390844
320,nDCG@100,0.3701615683501707
321,AP,0.22032210287509293
321,RR,1.0
321,R@1000,0.4975369458128079
321,nDCG@3,1.0
321,nDCG@10,0.914856882358379
321,nDCG@20,0.8053067088295955
321,nDCG@100,0.4894067363002539
322,AP,0.021224291771682204
322,RR,0.2
322,R@1000,0.47058823529411764
322,nDCG@3,0.0
322,nDCG@10,0.08514311764162098
322,nDCG@20,0.05494858807198588
322,nDCG@100,0.09314108913792798
323,AP,0.060488729864208744
323,RR,1.0
323,R@1000,0.19672131147540983
323,nDCG@3,0.7653606369886217
323,nDCG@10,0.4537425745411855
323,nDCG@20,0.3291869302035715
323,nDCG@100,0.21394301620368691
324,AP,0.6926052376907674
324,RR,1.0
324,R@1000,0.9130434782608695
324,nDCG@3,1.0
324,nDCG@10,1.0
324,nDCG@20,1.0
324,nDCG@100,0.8635342191842378
325,AP,0.02670980243913543
325,RR,0.16666666666666666
325,R@1000,0.4166666666666667
325,nDCG@3,0.0
325,nDCG@10,0.14201905717762703
325,nDCG@20,0.12571743461748863
325,nDCG@100,0.1117669276169926
326,AP,0.4233144858544622
326,RR,1.0
326,R@1000,0.8478260869565217
326,nDCG@3,0.46927872602275644
326,nDCG@10,0.596517333399007
326,nDCG@20,0.6316478409763906
326,nDCG@100,0.6397166077868154
327,AP,0.17709557096509884
327,RR,1.0
327,R@1000,0.7272727272727273
327,nDCG@3,0.7039180890341347
327,nDCG@10,0.33013764944712026
327,nDCG@20,0.3617728804402733
327,nDCG@100,0.3617728804402733
328,AP,0.38391850700889885
328,RR,1.0
328,R@1000,0.75
328,nDCG@3,1.0
328,nDCG@10,0.5390031312763821
328,nDCG@20,0.5390031312763821
328,nDCG@100,0.5390031312763821
329,AP,0.3848764590022985
329,RR,1.0
329,R@1000,0.8
329,nDCG@3,1.0
329,nDCG@10,0.9266360779006401
329,nDCG@20,0.7113047739928557
329,nDCG@100,0.5668670715629022
330,AP,0.15263279753506062
330,RR,1.0
330,R@1000,0.7
330,nDCG@3,1.0
330,nDCG@10,0.4690000933206748
330,nDCG@20,0.3751249570751949
330,nDCG@100,0.3376289543482043
331,AP,0.3141405001164965
331,RR,1.0
331,R@1000,0.6338028169014085
331,nDCG@3,1.0
331,nDCG@10,1.0
331,nDCG@20,0.9263159606882019
331,nDCG@100,0.5908949882478494
332,AP,0.047007746657271685
332,RR,0.25
332,R@1000,0.2992125984251969
332,nDCG@3,0.0
332,nDCG@10,0.1681522864689108
332,nDCG@20,0.1813367555307766
332,nDCG@100,0.2059971145403579
333,AP,0.31552489024580777
333,RR,1.0
333,R@1000,0.6923076923076923
333,nDCG@3,0.7653606369886217
333,nDCG@10,0.7471589728148227
333,nDCG@20,0.689173909967651
333,nDCG@100,0.5085612741626201
334,AP,0.11462150166266655
334,RR,1.0
334,R@1000,0.4444444444444444
334,nDCG@3,0.46927872602275644
334,nDCG@10,0.23504554941448536
334,nDCG@20,0.23504554941448536
334,nDCG@100,0.23504554941448536
335,AP,0.5877170950755499
335,RR,1.0
335,R@1000,0.9696969696969697
335,nDCG@3,1.0
335,nDCG@10,0.9216017310213247
335,nDCG@20,0.876345758584854
335,nDCG@100,0.7196122476877223
336,AP,0.006087903554958039
336,RR,0.03225806451612903
336,R@1000,0.3333333333333333
336,nDCG@3,0.0
336,nDCG@10,0.0
336,nDCG@20,0.0
336,nDCG@100,0.06959370246811354
337,AP,0.15527236270056569
337,RR,1.0
337,R@1000,0.5161290322580645
337,nDCG@3,0.46927872602275644
337,nDCG@10,0.6180396628416763
337,nDCG@20,0.43120090959952934
337,nDCG@100,0.3353645514565681
338,AP,0.20833333333333331
338,RR,0.3333333333333333
338,R@1000,0.5
338,nDCG@3,0.23463936301137822
338,nDCG@10,0.36331756126716835
338,nDCG@20,0.36331756126716835
338,nDCG@100,0.36331756126716835
339,AP,0.270601323407775
339,RR,0.25
339,R@1000,0.8
339,nDCG@3,0.0
339,nDCG@10,0.2583297509898471
339,nDCG@20,0.4257222909718303
339,nDCG@100,0.5165642989309519
340,AP,0.14009723094132934
340,RR,1.0
340,R@1000,0.391304347826087
340,nDCG@3,0.7039180890341347
340,nDCG@10,0.6496872770120411
340,nDCG@20,0.5691589584115727
340,nDCG@100,0.3056499515497892
341,AP,0.2868937134615225
341,RR,1.0
341,R@1000,0.7564102564102564
341,nDCG@3,0.46927872602275644
341,nDCG@10,0.606439180544341
341,nDCG@20,0.6065488756453481
341,nDCG@100,0.4688703882658017
342,AP,0.06115397999498288
342,RR,0.14285714285714285
342,R@1000,0.55
342,nDCG@3,0.0
342,nDCG@10,0.07336392209936005
342,nDCG@20,0.04734667987788577
342,nDCG@100,0.2613361752061993
343,AP,0.08761047328589663
343,RR,1.0
343,R@1000,0.3682170542635659
343,nDCG@3,0.7653606369886217
