measure,query_id,perfect,binarized,nearrandom
AP,307,0.259481877993075,0.259481877993075,0.22349439352613346
AP,310,0.2914437468513153,0.2914437468513153,0.2887119337409449
AP,311,0.16719932875684299,0.16719932875684299,0.15416487880739022
AP,316,0.046649881840041735,0.046649881840041735,0.04726742136722254
AP,317,0.2625844704724639,0.2625844704724639,0.31297138420585624
AP,319,0.02715607291295131,0.04008168630294251,0.05023413083161933
AP,320,0.14087455754122422,0.09914829179535062,0.10383348584568097
AP,325,0.09760725386193801,0.08419382453063429,0.08067835938673866
AP,326,0.3208136847614514,0.35745854977606156,0.3431099833562817
AP,331,0.3568975818094718,0.3568975818094718,0.40536113796539186
AP,334,0.12086560782171057,0.12086560782171057,0.12306527243815202
AP,339,0.22770670228117035,0.19409609813302636,0.2330730672835936
AP,346,0.11813084018188813,0.11813084018188813,0.09779998955830618
AP,356,0.07698869612812059,0.06819619598524262,0.06370427216677661
AP,361,0.3659846301278526,0.3659846301278526,0.36663386935126063
AP,368,0.5710147146053667,0.5710147146053667,0.5861177331833137
AP,369,0.46077296963391634,0.46077296963391634,0.4594052013141944
AP,370,0.11698990363678187,0.15837155272522493,0.1330073651080068
AP,397,0.6822734371175228,0.6822734371175228,0.67883326264921
AP,398,0.15982930048230393,0.15982930048230393,0.1717710209120438
AP,405,0.40916612726867146,0.40916612726867146,0.3102278178247233
AP,409,0.12973706129737061,0.12973706129737061,0.12147026437905191
AP,412,0.42444173766110305,0.42444173766110305,0.411800577739092
AP,413,0.043879256111918785,0.0655624613953747,0.05783693479458374
AP,415,0.1091288234905492,0.1091288234905492,0.0867979997275975
AP,419,0.11364953231343798,0.11364953231343798,0.11595549947364465
AP,421,0.05203155421094965,0.05203155421094965,0.058604035456273566
AP,438,0.19991757282745168,0.19991757282745168,0.186216304987659
AP,441,0.39676673765303466,0.39676673765303466,0.34843963226316166
AP,609,0.21004979944194282,0.21004979944194282,0.2164431766357981
AP,610,0.017666420692869347,0.008577254756834796,0.010349456412852067
AP,613,0.10259624423071118,0.10259624423071118,0.1016108561839324
AP,623,0.07351967831588756,0.06741561716511775,0.05775940915531093
AP,624,0.27543889252564246,0.2664290564628457,0.2561703461465719
AP,626,0.5715402475887212,0.5715402475887212,0.5712639354777823
