query_id,measure,value
301,AP,0.08727235286587091
301,RR,0.5
301,R@1000,0.30357142857142855
301,nDCG@3,0.2960819109658652
301,nDCG@10,0.6036081270984908
301,nDCG@20,0.5322951967251003
301,nDCG@100,0.3855163888968215
302,AP,0.34236618434560184
302,RR,1.0
302,R@1000,0.6615384615384615
302,nDCG@3,0.7653606369886217
302,nDCG@10,0.6581810421830975
302,nDCG@20,0.678249769437194
302,nDCG@100,0.544532786671758
303,AP,0.12801043470564588
303,RR,0.3333333333333333
303,R@1000,0.9
303,nDCG@3,0.23463936301137822
303,nDCG@10,0.11004588314904008
303,nDCG@20,0.1678528832327455
303,nDCG@100,0.44300313465895796
304,AP,0.07613590597544444
304,RR,1.0
304,R@1000,0.49489795918367346
304,nDCG@3,0.46927872602275644
304,nDCG@10,0.43810818083050457
304,nDCG@20,0.3211253531665746
304,nDCG@100,0.2144517334412759
305,AP,0.07343247894660539
305,RR,1.0
305,R@1000,0.45714285714285713
305,nDCG@3,0.7653606369886217
305,nDCG@10,0.3589542101716347
305,nDCG@20,0.23165732683700077
305,nDCG@100,0.2138476632391199
306,AP,0.1441098312818132
306,RR,0.5
306,R@1000,0.5391566265060241
306,nDCG@3,0.2960819109658652
306,nDCG@10,0.37566986542073233
306,nDCG@20,0.4235774714104147
306,nDCG@100,0.3276376744463648
307,AP,0.26555876918586974
307,RR,1.0
307,R@1000,0.5857142857142857
307,nDCG@3,1.0
307,nDCG@10,0.8643145546088337
307,nDCG@20,0.8047070332723307
307,nDCG@100,0.5782396192995193
308,AP,0.3319128787878788
308,RR,1.0
308,R@1000,1.0
308,nDCG@3,0.46927872602275644
308,nDCG@10,0.3903800499921017
308,nDCG@20,0.49927381106033386
308,nDCG@100,0.6390323542037633
309,AP,0.0
309,RR,0.0
309,R@1000,0.0
309,nDCG@3,0.0
309,nDCG@10,0.0
309,nDCG@20,0.0
309,nDCG@100,0.0
310,AP,0.2816353894239419
310,RR,1.0
310,R@1000,0.6923076923076923
