measure,query_id,perfect,binarized,nearrandom
AP,307,0.25897177901303503,0.25897177901303503,0.25897177901303503
AP,310,0.269763700417195,0.269763700417195,0.269763700417195
AP,311,0.5181104697652468,0.5181104697652468,0.5181104697652468
AP,316,0.006975116670835687,0.006975116670835687,0.006975116670835687
AP,317,0.2634006540572965,0.2634006540572965,0.2634006540572965
AP,319,0.04513182785849187,0.04513182785849187,0.04513182785849187
AP,320,0.175165315723713,0.175165315723713,0.175165315723713
AP,325,0.0034396717070964487,0.0034396717070964487,0.0034396717070964487
AP,326,0.4389979215116107,0.4389979215116107,0.4389979215116107
AP,331,0.3051273688488794,0.3051273688488794,0.3051273688488794
AP,334,0.02155043982530016,0.02155043982530016,0.02155043982530016
AP,339,0.1836458495330771,0.1836458495330771,0.1836458495330771
AP,346,0.07046776318174718,0.07046776318174718,0.07046776318174718
AP,356,0.04024065747141884,0.04024065747141884,0.04024065747141884
AP,361,0.25366904337492574,0.25366904337492574,0.25366904337492574
AP,368,0.32168846977485693,0.32168846977485693,0.32168846977485693
AP,369,0.1552013539400787,0.1552013539400787,0.1552013539400787
AP,370,0.27573716381947505,0.27573716381947505,0.27573716381947505
AP,397,0.48410732577585475,0.48410732577585475,0.48410732577585475
AP,398,0.05642974678004984,0.05642974678004984,0.05642974678004984
AP,405,0.13605906952106447,0.13605906952106447,0.13605906952106447
AP,409,0.23137011537320654,0.23137011537320654,0.23137011537320654
AP,412,0.420388627068731,0.420388627068731,0.420388627068731
AP,413,0.059025313692854756,0.059025313692854756,0.059025313692854756
AP,415,0.13414808422070243,0.13414808422070243,0.13414808422070243
AP,419,0.23670831461115818,0.23670831461115818,0.23670831461115818
AP,421,0.039598395747512935,0.039598395747512935,0.039598395747512935
AP,438,0.22661726517068195,0.22661726517068195,0.22661726517068195
AP,441,0.5036727977904448,0.5036727977904448,0.5036727977904448
AP,609,0.23267138610647617,0.23267138610647617,0.23267138610647617
AP,610,0.01325757575757576,0.01325757575757576,0.01325757575757576
AP,613,0.12587808087914,0.12587808087914,0.12587808087914
AP,623,0.09190905840365092,0.09190905840365092,0.09190905840365092
AP,624,0.22034840868623784,0.22034840868623784,0.22034840868623784
AP,626,0.4902272036672483,0.4902272036672483,0.4902272036672483
AP,631,0.1694905362567111,0.1694905362567111,0.1694905362567111
AP,634,0.6483558108558107,0.6483558108558107,0.6483558108558107
AP,635,0.7686313066985154,0.7686313066985154,0.7686313066985154
AP,641,0.25123552141884076,0.25123552141884076,0.25123552141884076
AP,644,0.2895594889770075,0.2895594889770075,0.2895594889770075
AP,645,0.5903808357220474,0.5903808357220474,0.5903808357220474
AP,646,0.3726503623174444,0.3726503623174444,0.3726503623174444
AP,647,0.2968812532522116,0.2968812532522116,0.2968812532522116
AP,650,0.1262877782932041,0.1262877782932041,0.1262877782932041
AP,651,0.11715236700213627,0.11715236700213627,0.11715236700213627
AP,652,0.11467039028730461,0.11467039028730461,0.11467039028730461
AP,666,0.022093572778827977,0.022093572778827977,0.022093572778827977
AP,675,0.1089072159661385,0.1089072159661385,0.1089072159661385
AP,691,0.11747556886543312,0.11747556886543312,0.11747556886543312
AP,698,0.10898559870753499,0.10898559870753499,0.10898559870753499
AP,306,0.14417402381436994,0.14417402381436994,0.14417402381436994
AP,313,0.17759040245823446,0.17759040245823446,0.17759040245823446
AP,323,0.07541688754668097,0.07541688754668097,0.07541688754668097
AP,329,0.3693678665823776,0.3693678665823776,0.3693678665823776
AP,330,0.21454200744862753,0.21454200744862753,0.21454200744862753
AP,332,0.032576029074250584,0.032576029074250584,0.032576029074250584
AP,336,0.05750599537246659,0.05750599537246659,0.05750599537246659
AP,343,0.013638059952928435,0.013638059952928435,0.013638059952928435
AP,357,0.3364793931432415,0.3364793931432415,0.3364793931432415
AP,366,0.049947950949465185,0.049947950949465185,0.049947950949465185
AP,367,0.04156225195589794,0.04156225195589794,0.04156225195589794
AP,374,0.19731541340973432,0.19731541340973432,0.19731541340973432
AP,376,0.007459254748557654,0.007459254748557654,0.007459254748557654
AP,380,0.21181443543624015,0.21181443543624015,0.21181443543624015
AP,383,0.1370201402225936,0.1370201402225936,0.1370201402225936
AP,385,0.2186999694362932,0.2186999694362932,0.2186999694362932
AP,387,0.11661271697942978,0.11661271697942978,0.11661271697942978
AP,394,0.08855440910541432,0.08855440910541432,0.08855440910541432
AP,402,0.18830590638102834,0.18830590638102834,0.18830590638102834
AP,410,0.3840222561397548,0.3840222561397548,0.3840222561397548
AP,416,0.34435937530635735,0.34435937530635735,0.34435937530635735
AP,418,0.040385202995093475,0.040385202995093475,0.040385202995093475
AP,420,0.4265877022929827,0.4265877022929827,0.4265877022929827
AP,425,0.2887242697056769,0.2887242697056769,0.2887242697056769
AP,426,0.08550803812749247,0.08550803812749247,0.08550803812749247
AP,427,0.1287281270170786,0.1287281270170786,0.1287281270170786
AP,433,0.008913308913308913,0.008913308913308913,0.008913308913308913
