measure,query_id,value
AP,307,0.2264956607928992
AP,310,0.28942779297243193
AP,311,0.17903575379332712
AP,316,0.03592021016327205
AP,317,0.29022240149221734
AP,319,0.07822207205927821
AP,320,0.09630384519720536
AP,325,0.025545165626942357
AP,326,0.4154391339938479
AP,331,0.32702076904233257
AP,334,0.1155090664544271
AP,339,0.28636752136752136
AP,346,0.14172838969249532
AP,356,0.041584229546740965
AP,361,0.4309523809523809
AP,368,0.29584213064836695
AP,369,0.31486001294019356
AP,370,0.18209100520855193
AP,397,0.55506283584783
AP,398,0.10935980191491003
AP,405,0.1528983295696165
AP,409,0.19329221504159
AP,412,0.45060919325270593
AP,413,0.05832144113649755
AP,415,0.21038399720054224
AP,419,0.3346709460342997
AP,421,0.08424749122342413
AP,438,0.21456323395467994
AP,441,0.3447209889215768
AP,609,0.2686383313512281
AP,610,0.039235535359870934
AP,613,0.07673742271345611
AP,623,0.05717305984583667
AP,624,0.26697814353789595
AP,626,0.5080552335876879
AP,631,0.3402513839103838
AP,634,0.6741614000972289
AP,635,0.598948942400352
AP,641,0.37540082730913604
AP,644,0.3080824316327651
AP,645,0.6631720129432578
AP,646,0.4167794382289432
AP,647,0.30713497249109367
AP,650,0.056532156641759514
AP,651,0.1291005552730582
AP,652,0.16198271482052515
AP,666,0.008956186216137254
AP,675,0.2577895696424313
AP,691,0.22725926675813954
AP,698,0.14868189761381673
AP,306,0.16359998896663272
AP,313,0.32546731400418355
AP,323,0.052932370567219326
AP,329,0.38153781520344077
AP,330,0.1482495948151662
AP,332,0.05372256920928791
AP,336,0.017592229059818044
AP,343,0.07021050893923389
AP,357,0.32117807732939824
AP,366,0.0980692735136209
AP,367,0.017983106487452112
AP,374,0.06925828181572793
AP,376,0.034461166972065194
AP,380,0.19817192794720886
AP,383,0.12870700438951604
AP,385,0.3372362643177191
AP,387,0.06281328389283132
AP,394,0.12084528868925513
AP,402,0.19198785012874464
AP,410,0.2709554424280165
AP,416,0.3157044857835179
AP,418,0.025703859270965492
AP,420,0.3839174990267017
AP,425,0.3713286753507599
AP,426,0.11718114795063336
AP,427,0.21372717007389233
AP,433,0.0029624478702265393
AP,440,0.11094558770543299
AP,445,0.4123383814676339
AP,448,0.05133600557139769
AP,449,0.07582700747407384
AP,601,0.5497762148337596
AP,605,0.2528171987473701
AP,606,0.20411144278564555
AP,607,0.2339258017256489
AP,618,0.07791946925784349
AP,619,0.47938250892885975
AP,632,0.43997766920371084
AP,636,0.1705691857837595
AP,648,0.44845804863925404
AP,662,0.13968432661254646
AP,663,0.5675842160808274
AP,664,0.8342615342615343
AP,667,0.18784492812561357
AP,676,0.14745536406007032
AP,684,0.12229686912616716
AP,685,0.14493189636548173
AP,687,0.390631538364903
AP,688,0.04452694185921627
AP,696,0.20986553766003097
AP,301,0.10661632950107572
AP,303,0.15841560213214959
AP,305,0.05068152298216676
AP,312,0.04609281635009401
AP,327,0.21567676759905288
AP,328,0.38652914518614134
AP,333,0.31811770078152796
AP,337,0.16624175884404635
AP,342,0.05532123650289572
AP,347,0.08629566254342662
AP,352,0.1431579872595118
AP,362,0.09361377271715363
AP,363,0.35330315298106585
AP,365,0.18563726148373247
AP,371,0.00810224591799764
AP,377,0.089670668740141
AP,378,0.04478339436350343
AP,379,0.09028577828981055
AP,386,0.08203634149633844
AP,391,0.31183866113166836
AP,396,0.28976018430797296
AP,399,0.0752051815950873
AP,401,0.132700865686293
AP,414,0.2349942582300801
AP,423,0.14744589852865095
AP,428,0.19099007622729017
AP,429,0.25433298133832893
AP,436,0.5084054373684317
AP,437,0.02318738018750561
AP,439,0.0499197309476852
AP,442,0.04639135042652151
AP,443,0.2126332798032128
AP,444,0.20096709244038555
AP,447,0.004802845189147822
AP,603,0.5871441365007541
AP,615,0.020681301225656066
AP,616,0.24885167261785326
AP,627,0.047135124228180426
AP,628,0.21308647572826572
AP,629,0.4240505771425892
AP,649,0.5913288239191061
AP,673,0.19570650284393765
AP,677,0.8300653594771242
AP,680,0.3326434128502988
AP,682,0.06874759773522413
AP,690,0.007351153928255527
AP,692,0.07835632666695574
AP,694,0.12080787820462034
AP,695,0.11824303568942797
AP,699,0.4120168592878538
AP,304,0.08675253586781918
AP,308,0.2985828280085679
AP,309,0.0
AP,314,0.03125239844587114
AP,318,0.025442104129602214
AP,324,0.6446706105121397
AP,335,0.6142271505903913
AP,340,0.16278947844446467
AP,341,0.3161269840762191
AP,344,0.49645909645909636
AP,345,0.2637898911087875
AP,348,0.0
AP,350,0.0581138533072716
AP,354,0.03496456886587491
AP,360,0.3721161597062186
AP,373,0.14815861164092609
AP,381,0.06356450769376679
AP,382,0.5796705903489152
AP,384,0.16159027454267397
AP,390,0.07329251485763134
AP,392,0.24966247564367378
AP,395,0.15581952255665074
AP,406,0.10392089743390313
AP,411,0.18755245227399103
AP,424,0.028705894933766306
AP,432,0.03472467150036267
AP,434,0.5918044464147546
AP,435,0.08146563265971758
AP,446,0.2271684651889026
AP,604,0.45310781078107815
AP,612,0.31837980908371116
AP,614,0.16266336399910364
AP,617,0.20008990501227683
AP,621,0.6196454006857628
AP,622,0.12494610138720195
AP,633,0.34966794032876053
AP,637,0.11807576584282885
AP,643,0.17458589145839662
AP,655,0.16240106531368667
AP,656,0.26653033753933913
AP,659,0.5599269073831515
AP,668,0.08768503216276832
AP,669,0.03994607328001513
AP,670,0.11609797855938753
AP,674,0.1405435510975111
AP,678,0.059034060459415116
AP,679,0.8416666666666667
AP,681,0.4558948022075336
AP,683,0.3603970022033243
AP,689,0.020423505856706055
AP,302,0.3242181451442745
AP,315,0.023671425465931255
AP,321,0.21501349904975825
AP,322,0.02155418031991493
AP,338,0.20833333333333331
AP,349,0.11245600793668825
AP,351,0.6072590859154356
AP,353,0.17756597838127783
AP,355,0.1653375219300752
AP,358,0.1829801959942426
AP,359,0.0707156642476741
AP,364,0.38054699914665624
AP,372,0.6895536965906554
AP,375,0.176696661736394
AP,388,0.0206424924814603
AP,389,0.01549109588154807
AP,393,0.053609529198213074
AP,400,0.422040347436503
AP,403,0.734308963797522
AP,404,0.12085800368550534
AP,407,0.07585833205026295
AP,408,0.1603894383942708
AP,417,0.2001993083510589
AP,422,0.5042154745958443
AP,430,0.6392857142857143
AP,431,0.33321204028851065
AP,450,0.27966274448223805
AP,602,0.31906457168712743
AP,608,0.051706671695458575
AP,611,0.4151783025160829
AP,620,0.028522138146920933
AP,625,0.2745862079957587
AP,630,0.9166666666666666
AP,638,0.12205469801091924
AP,639,0.2980057445150248
AP,640,0.24749046791055865
AP,642,0.04367986889185766
AP,653,0.6292378572168936
AP,654,0.368801169737964
AP,657,0.4729837255423727
AP,658,0.2231325843776385
AP,660,0.5944634158714844
AP,661,0.42429780061855377
AP,665,0.22339978890005416
AP,671,0.253927405909573
AP,686,0.2296169662144415
AP,693,0.3309609831520525
AP,697,0.09016906622809025
AP,700,0.1528430025368398
R@1000,307,0.6523809523809524
R@1000,310,0.7692307692307693
R@1000,311,0.4010989010989011
R@1000,316,0.20588235294117646
R@1000,317,0.7142857142857143
R@1000,319,0.4823529411764706
R@1000,320,1.0
R@1000,325,0.3333333333333333
R@1000,326,0.8478260869565217
R@1000,331,0.6244131455399061
R@1000,334,0.4444444444444444
R@1000,339,0.8
R@1000,346,0.7428571428571429
R@1000,356,0.35294117647058826
R@1000,361,0.7777777777777778
R@1000,368,0.639344262295082
R@1000,369,0.6153846153846154
R@1000,370,0.5476190476190477
R@1000,397,0.9629629629629629
R@1000,398,0.43448275862068964
R@1000,405,0.7894736842105263
R@1000,409,0.36363636363636365
R@1000,412,0.7560975609756098
R@1000,413,0.7536231884057971
R@1000,415,0.4632352941176471
