mean_value,best,tpgr,measure,collection,user_model,encoder,model
0.503207793808256,0,0,AP,trec-dl-2019,perfect,contriever,vprf20
0.543023222690572,0,1,AP,trec-dl-2019,perfect,contriever,ClickLogsWeightedMax
0.493167500242872,0,0,AP,trec-dl-2019,perfect,contriever,nodime
0.519324240446558,0,0,AP,trec-dl-2019,perfect,dragon,ClickLogsWeightedMax
0.50671121861906,0,0,AP,trec-dl-2019,perfect,dragon,ClickLogsWeightedMean
0.552919360312293,0,0,AP,trec-dl-2019,perfect,dragon,LLM
0.580757905109531,0,0,AP,trec-dl-2019,perfect,dragon,ClickLogsLinearModel
0.639935502148416,1,0,AP,trec-dl-2019,perfect,dragon,corocchio
0.564194212607593,0,0,AP,trec-dl-2019,perfect,dragon,ClickLogsCorrelation
0.571260703238607,0,0,AP,trec-dl-2019,perfect,dragon,vprf5
0.562894935177236,0,0,AP,trec-dl-2019,perfect,dragon,vprf20
0.516552756015405,0,0,AP,trec-dl-2019,perfect,dragon,ClickLogsMean
0.516552038648737,0,0,AP,trec-dl-2019,perfect,dragon,nodime
0.555106872794282,0,1,AP,trec-dl-2019,perfect,tasb,ClickLogsCorrelation
0.553997884676208,0,1,AP,trec-dl-2019,perfect,tasb,ClickLogsLinearModel
0.476210604699245,0,0,AP,trec-dl-2019,perfect,tasb,nodime
0.488217417823924,0,0,AP,trec-dl-2019,perfect,tasb,ClickLogsMean
0.534537338630116,0,1,AP,trec-dl-2019,perfect,tasb,ClickLogsWeightedMax
0.461340849249377,0,0,AP,trec-dl-2019,perfect,tasb,ClickLogsWeightedMean
0.49923860943431,0,0,AP,trec-dl-2019,perfect,tasb,vprf20
0.595247726399675,1,1,AP,trec-dl-2019,perfect,tasb,corocchio
0.524810395024862,0,0,AP,trec-dl-2019,perfect,tasb,vprf5
0.517953130660064,0,0,AP,trec-dl-2019,perfect,tasb,LLM
0.478026757412245,0,0,AP,trec-dl-2020,binarized,contriever,vprf20
0.546583632787211,1,1,AP,trec-dl-2020,binarized,contriever,corocchio
0.499342918547687,0,0,AP,trec-dl-2020,binarized,contriever,ClickLogsWeightedMean
0.513097374332656,0,1,AP,trec-dl-2020,binarized,contriever,LLM
0.486284445471262,0,0,AP,trec-dl-2020,binarized,contriever,ClickLogsMean
0.490637037287742,0,0,AP,trec-dl-2020,binarized,contriever,vprf5
0.520965153238792,0,1,AP,trec-dl-2020,binarized,contriever,ClickLogsWeightedMax
0.529260722021194,0,1,AP,trec-dl-2020,binarized,contriever,ClickLogsLinearModel
0.479183120253128,0,0,AP,trec-dl-2020,binarized,contriever,nodime
0.52188289023178,0,1,AP,trec-dl-2020,binarized,contriever,ClickLogsCorrelation
0.549886119866686,0,1,AP,trec-dl-2020,binarized,dragon,ClickLogsLinearModel
0.506458810463359,0,0,AP,trec-dl-2020,binarized,dragon,nodime
0.509968634256261,0,0,AP,trec-dl-2020,binarized,dragon,ClickLogsWeightedMax
0.506458810463359,0,0,AP,trec-dl-2020,binarized,dragon,ClickLogsMean
0.527965880343587,0,0,AP,trec-dl-2020,binarized,dragon,vprf5
0.528040828782538,0,0,AP,trec-dl-2020,binarized,dragon,vprf20
0.531298996323433,0,0,AP,trec-dl-2020,binarized,dragon,LLM
0.584868153786314,1,1,AP,trec-dl-2020,binarized,dragon,corocchio
0.55832422300106,0,1,AP,trec-dl-2020,binarized,dragon,ClickLogsCorrelation
0.506458810463359,0,0,AP,trec-dl-2020,binarized,dragon,ClickLogsWeightedMean
0.45785192769836,0,0,AP,trec-dl-2020,binarized,tasb,ClickLogsWeightedMean
0.523529009839311,0,1,AP,trec-dl-2020,binarized,tasb,corocchio
0.50971883417477,0,1,AP,trec-dl-2020,binarized,tasb,LLM
0.48201942218247,0,0,AP,trec-dl-2020,binarized,tasb,ClickLogsMean
0.536714750086615,1,1,AP,trec-dl-2020,binarized,tasb,ClickLogsLinearModel
0.459857584699762,0,0,AP,trec-dl-2020,binarized,tasb,vprf20
0.475179088662902,0,0,AP,trec-dl-2020,binarized,tasb,nodime
0.483365837769676,0,0,AP,trec-dl-2020,binarized,tasb,vprf5
0.514654318085455,0,1,AP,trec-dl-2020,binarized,tasb,ClickLogsCorrelation
0.515080202893928,0,1,AP,trec-dl-2020,binarized,tasb,ClickLogsWeightedMax
0.478026757412245,0,0,AP,trec-dl-2020,nearrandom,contriever,vprf20
0.465308157801624,0,0,AP,trec-dl-2020,nearrandom,contriever,corocchio
0.491831386208868,0,1,AP,trec-dl-2020,nearrandom,contriever,ClickLogsWeightedMean
0.513097374332656,0,1,AP,trec-dl-2020,nearrandom,contriever,LLM
0.486284445471262,0,0,AP,trec-dl-2020,nearrandom,contriever,ClickLogsMean
0.490637037287742,0,0,AP,trec-dl-2020,nearrandom,contriever,vprf5
0.51049330393413,0,1,AP,trec-dl-2020,nearrandom,contriever,ClickLogsWeightedMax
0.523119736346651,0,1,AP,trec-dl-2020,nearrandom,contriever,ClickLogsLinearModel
0.479183120253128,0,0,AP,trec-dl-2020,nearrandom,contriever,nodime
0.531930620156698,1,1,AP,trec-dl-2020,nearrandom,contriever,ClickLogsCorrelation
0.543176468810853,1,1,AP,trec-dl-2020,nearrandom,dragon,ClickLogsLinearModel
0.506458810463359,0,1,AP,trec-dl-2020,nearrandom,dragon,nodime
0.511879679465061,0,1,AP,trec-dl-2020,nearrandom,dragon,ClickLogsWeightedMax
0.506458810463359,0,1,AP,trec-dl-2020,nearrandom,dragon,ClickLogsMean
0.527965880343587,0,1,AP,trec-dl-2020,nearrandom,dragon,vprf5
0.528040828782538,0,1,AP,trec-dl-2020,nearrandom,dragon,vprf20
0.531298996323433,0,1,AP,trec-dl-2020,nearrandom,dragon,LLM
